system_id,n_stations,n_agree_flag,n_agree_clean,n_fp_legacy,n_fn_composite,discordance_rate
auray-quiberon,11,0,0,0,11,1.0
cyclolibre,10,0,0,0,10,1.0
chantrerie,16,0,0,16,0,1.0
mp_CHATELLERAULT,13,0,0,0,13,1.0
mp_ARBRESLE,4,0,0,4,0,1.0
le_velo_star,57,2,2,1,52,0.9298245614035088
citiz_rennes_metropole,55,3,1,2,49,0.9272727272727272
dijon,40,2,2,1,35,0.9
vivelo,8,0,1,0,7,0.875
choletbus,16,2,0,0,14,0.875
ti_velo,14,2,0,0,12,0.8571428571428571
labaule,14,2,0,0,12,0.8571428571428571
besancon,33,5,0,1,27,0.8484848484848485
impulsyon,31,2,3,0,26,0.8387096774193549
bird-vichy,46,9,0,0,37,0.8043478260869565
amiens,45,9,1,0,35,0.7777777777777778
calais,9,2,0,0,7,0.7777777777777778
velibeo,26,4,2,0,20,0.7692307692307693
saintbrieuc,12,3,0,0,9,0.75
aupa,8,1,1,6,0,0.75
beb,45,3,9,0,33,0.7333333333333333
citiz_la_rochelle,24,4,3,0,17,0.7083333333333334
petitesreines,16,3,2,0,11,0.6875
tempovelo,16,4,1,0,11,0.6875
dott-siemu,117,1,42,74,0,0.6324786324786325
velocite,19,3,4,0,12,0.631578947368421
velopop,29,6,5,0,18,0.6206896551724138
velyceo,5,0,2,3,0,0.6
knot_strasbourg,25,4,6,0,15,0.6
citiz_developpement,55,0,25,30,0,0.5454545454545454
citiz_angers,26,4,8,0,14,0.5384615384615384
nextbike_ae,39,6,13,1,19,0.5128205128205128
tlpmobilites,13,0,7,6,0,0.46153846153846156
velozef,40,7,15,0,18,0.45
Optymo_FR_Belfort,32,4,14,0,14,0.4375
cyclovis,28,4,12,0,12,0.42857142857142855
nextbike_ah,49,0,28,1,20,0.42857142857142855
lemarcel,30,1,17,0,12,0.4
bird-draguignan,63,8,30,1,24,0.3968253968253968
citiz_grand_est,272,0,169,103,0,0.3786764705882353
montpellier,53,5,28,2,18,0.37735849056603776
velo-modalis,8,0,5,3,0,0.375
idecycle_pau,40,5,20,0,15,0.375
bird-millau,75,10,40,0,25,0.3333333333333333
donkey_brest,75,5,45,5,20,0.3333333333333333
pony_Herouville,209,0,140,47,22,0.33014354066985646
pony_paris,3617,0,2444,1173,0,0.3243019076582803
citiz_grand_poitiers,22,4,11,0,7,0.3181818181818182
dott-gpseo,351,0,241,110,0,0.31339031339031337
grand-est,52,0,36,14,2,0.3076923076923077
bird-montlucon,62,6,37,3,16,0.3064516129032258
cyclam,34,0,24,10,0,0.29411764705882354
nextbike_af,60,6,37,2,15,0.2833333333333333
pony_Beauvais,62,5,41,1,15,0.25806451612903225
dott-lyon,1404,2,1055,347,0,0.24715099715099714
bird-gap,50,2,36,0,12,0.24
Optymo_Belfort_ALS,52,7,33,5,7,0.23076923076923078
dott-versailles-grand-parc,79,3,58,14,4,0.22784810126582278
v_lille,268,0,207,61,0,0.22761194029850745
semo,40,0,31,9,0,0.225
citiz_alpes_loire,408,4,313,91,0,0.22303921568627452
pony_Evry,212,14,151,32,15,0.22169811320754718
libelo,68,0,53,15,0,0.22058823529411764
CVelo_FR_Clermont-Ferrand,82,0,64,18,0,0.21951219512195122
ogalo,28,4,18,1,5,0.21428571428571427
voi_Le_Havre,470,1,370,99,0,0.21063829787234042
pony_Basque_Country,497,0,395,102,0,0.2052313883299799
citiz_lille_arras,77,0,62,15,0,0.19480519480519481
zebullo,63,3,48,0,12,0.19047619047619047
dott-bourgoin-jallieu,69,2,54,10,3,0.18840579710144928
dott-paris,14747,0,11997,2750,0,0.1864786058181325
inurba-rouen,131,3,104,23,1,0.183206106870229
pony_Lorient,203,0,166,20,17,0.18226600985221675
bird-larochesuryon,69,0,57,0,12,0.17391304347826086
citiz_provence,98,0,81,17,0,0.17346938775510204
bird-sarreguemines,64,3,50,0,11,0.171875
pony_bordeaux,2996,0,2483,513,0,0.1712283044058745
citiz_nantes,41,1,33,0,7,0.17073170731707318
mvelo_plus_grenoble,127,4,102,19,2,0.16535433070866143
auxrmlevelo,55,0,46,0,9,0.16363636363636364
capcotentin,49,0,41,8,0,0.16326530612244897
bird-bordeaux,3152,0,2644,508,0,0.16116751269035534
voi_Marseille,1267,11,1052,203,1,0.16101026045777428
voi_SQY,382,0,323,57,2,0.1544502617801047
levelo_inurba_marseille,221,8,179,19,15,0.15384615384615385
vertuose,39,0,33,6,0,0.15384615384615385
bird-marseille,803,11,671,116,5,0.1506849315068493
dott-bordeaux,3449,0,2936,513,0,0.14873876485937954
citiz_occitanie,128,5,104,19,0,0.1484375
twisto_velolib_caen,75,0,64,11,0,0.14666666666666667
velivert_saint_etienne,97,3,80,14,0,0.14432989690721648
citiz_metropole_lyon,201,0,172,29,0,0.14427860696517414
Paris,1507,43,1247,217,0,0.14399469143994692
vilvolt_epinal,105,8,82,12,3,0.14285714285714285
pony_poitiers,393,1,336,54,2,0.14249363867684478
velonecy60minutes_annecy,80,1,68,7,4,0.1375
cergy,45,0,39,1,5,0.13333333333333333
donkey_valenciennes,40,0,35,5,0,0.125
dott-ol-vallee,8,3,4,0,1,0.125
pony_Perpignan,1029,0,901,128,0,0.12439261418853255
pony_Limoges,154,4,131,9,10,0.12337662337662338
tanlib,51,1,44,6,0,0.11764705882352941
calais-velos,80,7,64,5,4,0.1125
citiz_gironde,98,6,81,8,3,0.11224489795918367
bird-laval,83,13,61,3,6,0.10843373493975904
nancy,37,4,29,4,0,0.10810810810810811
velo-tbm-bordeaux,225,16,185,10,14,0.10666666666666667
pony_Bourges,377,0,341,26,10,0.09549071618037135
lyon,452,4,405,43,0,0.09513274336283185
pony_Angers,1223,5,1103,112,3,0.09403107113654947
nantes,124,6,107,3,8,0.08870967741935484
voi_Grenoble,697,5,648,44,0,0.06312769010043041
bird-ajaccio,32,5,25,0,2,0.0625
toulouse,434,3,405,23,3,0.059907834101382486
pony_La_Roche_Sur_Yon,81,0,78,1,2,0.037037037037037035
citiz_bfc,56,0,56,0,0,0.0
calivelo,66,0,66,0,0,0.0
auto-en-velay,9,0,9,0,0,0.0
mp_OSSAU,3,0,3,0,0,0.0
perivelo,3,0,3,0,0,0.0
mp_LASCAUX,5,0,5,0,0,0.0
pony_Nice,412,0,412,0,0,0.0
velodaqui,6,2,4,0,0,0.0
