system_id,geometry_type,eigenvalue_ratio
CVelo_FR_Clermont-Ferrand,linear,6.069601789921762
Optymo_Belfort_ALS,isotropic,1.8188994668429228
Optymo_FR_Belfort,isotropic,2.914808425491635
Paris,isotropic,1.494971359695824
amiens,isotropic,1.2335315009156422
aupa,linear,5.684212178568157
auray-quiberon,isotropic,3.3551823569687804
auto-en-velay,linear,8.936792752962678
auxrmlevelo,isotropic,1.7055962550271702
beb,isotropic,1.5719217240300114
besancon,linear,39.3865626446691
bird-ajaccio,linear,12.866288374322172
bird-bordeaux,isotropic,1.179944271710666
bird-draguignan,isotropic,4.56935487902265
bird-gap,linear,11.953681120280832
bird-larochesuryon,isotropic,1.9453555823948068
bird-laval,isotropic,1.6226587101180392
bird-marseille,isotropic,1.8816848823740404
bird-millau,isotropic,1.657958095466341
bird-montlucon,isotropic,1.7905398489716646
bird-sarreguemines,isotropic,3.869030231962261
bird-vichy,isotropic,4.664853322286036
calais,linear,18.61514257808296
calais-velos,isotropic,1.069786157226164
calivelo,linear,8.341635979507336
capcotentin,linear,11.366945099177766
cergy,isotropic,4.683140372637887
chantrerie,linear,104.41481100674982
choletbus,isotropic,4.61838767864009
citiz_alpes_loire,isotropic,2.221974243095691
citiz_angers,isotropic,2.031026653086434
citiz_bfc,isotropic,2.431998763826657
citiz_developpement,isotropic,1.347724820315308
citiz_gironde,linear,5.924217926198181
citiz_grand_est,linear,6.523273158330311
citiz_grand_poitiers,linear,5.248742101262044
citiz_la_rochelle,isotropic,1.3417779270309684
citiz_lille_arras,isotropic,2.4424092193564846
citiz_metropole_lyon,isotropic,1.1887281665761282
citiz_nantes,isotropic,1.3565998908193313
citiz_occitanie,linear,5.395442693790089
citiz_provence,linear,119.08469990131809
citiz_rennes_metropole,isotropic,1.5786685998494896
cyclam,linear,19.675961174635646
cyclolibre,isotropic,2.450470098256503
cyclovis,isotropic,1.6475684755475068
dijon,isotropic,1.7039352107044028
donkey_brest,isotropic,3.518786433597726
donkey_valenciennes,linear,19.15155439938298
dott-bordeaux,isotropic,1.247166493022217
dott-bourgoin-jallieu,isotropic,1.6931198446017544
dott-gpseo,linear,13.813500614314156
dott-lyon,isotropic,1.4755071358113232
dott-ol-vallee,isotropic,1.877520344712605
dott-paris,isotropic,1.3489984299169306
dott-siemu,isotropic,1.1050081743303473
dott-versailles-grand-parc,linear,8.511480772274917
grand-est,isotropic,3.270505561802256
idecycle_pau,isotropic,3.0657333642831333
impulsyon,isotropic,1.6021874589740268
inurba-rouen,isotropic,2.240190015910784
knot_strasbourg,isotropic,2.36764848584904
labaule,linear,7.155520086502044
le_velo_star,isotropic,1.1868237441125726
lemarcel,isotropic,1.6856000398098507
levelo_inurba_marseille,isotropic,2.6899990884030713
libelo,linear,19.375869187615425
lyon,linear,68.396188487247
montpellier,isotropic,4.533302553998366
mp_ARBRESLE,too_small,
mp_CHATELLERAULT,isotropic,4.035071421123168
mp_LASCAUX,linear,5.0616905300969615
mp_OSSAU,too_small,
mvelo_plus_grenoble,isotropic,1.5616536615377978
nancy,isotropic,3.1462788246141247
nantes,isotropic,1.4339180299153214
nextbike_ae,isotropic,2.2755293593500645
nextbike_af,isotropic,2.1321442341792562
nextbike_ah,isotropic,2.585388712246521
ogalo,isotropic,1.5060506819048558
perivelo,too_small,
petitesreines,isotropic,1.5298252660615685
pony_Angers,linear,5.311640863855351
pony_Basque_Country,linear,6.5628762598995065
pony_Beauvais,isotropic,1.5019355780772594
pony_Bourges,isotropic,2.8529400573725745
pony_Evry,isotropic,1.2494624726317354
pony_Herouville,linear,30.327100271385987
pony_La_Roche_Sur_Yon,isotropic,1.8718363708112644
pony_Limoges,isotropic,2.103100119353901
pony_Lorient,isotropic,1.8960393491122356
pony_Nice,linear,13.273352696151179
pony_Perpignan,isotropic,2.551726484965344
pony_bordeaux,isotropic,1.2159272687190805
pony_paris,isotropic,1.5222814090673782
pony_poitiers,isotropic,2.539756090602159
saintbrieuc,isotropic,3.0421160037325
semo,linear,5.99135368538694
tanlib,isotropic,4.215032120381391
tempovelo,isotropic,2.5388852593758244
ti_velo,isotropic,2.1033259078407736
tlpmobilites,linear,109.67114925387403
toulouse,isotropic,1.2985933420354652
twisto_velolib_caen,isotropic,4.21701566958661
v_lille,linear,5.958556822572747
velibeo,isotropic,4.450370192555784
velivert_saint_etienne,isotropic,4.501936508861626
velo-modalis,linear,70.22846849298737
velo-tbm-bordeaux,isotropic,1.3870714126975965
velocite,isotropic,2.252166833933421
velodaqui,isotropic,1.7312821020620695
velonecy60minutes_annecy,isotropic,3.3934406923116693
velopop,isotropic,4.323017402642752
velozef,linear,6.343553543607278
velyceo,linear,5.256122635910487
vertuose,isotropic,3.138124052869629
vilvolt_epinal,isotropic,3.6656217542217546
vivelo,isotropic,1.6283593948080282
voi_Grenoble,isotropic,1.3744344872386671
voi_Le_Havre,isotropic,1.4212114624346992
voi_Marseille,isotropic,1.8991947945306709
voi_SQY,isotropic,1.7723459380015685
zebullo,isotropic,1.3716437581218681
